user,pass,cluster,unitcode,unitno,custname,custmail,noktp,tlp
userTest,1234,C601A,SST59007-1A-01,01D,Visionet,visionet@test.com,112233,0812121212
userTest,1234,C172B,SST52021-2B-52,52I,Visionet,visionet@test.com,112233,0812121213
userTest,1234,D031B,SST60009-1B-27,27C,Visionet,visionet@test.com,112233,0812121214
userTest,1234,C092B,SST51022-2B-27,27H,Visionet,visionet@test.com,112233,0812121215
userTest,1234,B382B,SST38022-2B-20,20B,Visionet,visionet@test.com,112233,0812121216
userTest,1234,C321B,SST55008-1B-52,52B,Visionet,visionet@test.com,112233,0812121217
userTest,1234,C621B,SST59009-1B-33,33I,Visionet,visionet@test.com,112233,0812121218
userTest,1234,B342A,SST37023-2A-30,30D,Visionet,visionet@test.com,112233,0812121219
userTest,1234,C171B,SST52021-1B-39,39B,Visionet,visionet@test.com,112233,0812121220
userTest,1234,B421B,SST39022-1B-17,17D,Visionet,visionet@test.com,112233,0812121221
userTest,1234,C171B,SST52021-1B-15,15C,Visionet,visionet@test.com,112233,0812121222
userTest,1234,C402B,SST56008-2B-22,22L,Visionet,visionet@test.com,112233,0812121223
userTest,1234,B222B,SST33022-2B-02,02D,Visionet,visionet@test.com,112233,0812121224
userTest,1234,B281B,SST35022-1B-37,37A,Visionet,visionet@test.com,112233,0812121225
userTest,1234,B362B,SST38020-2B-29,29E,Visionet,visionet@test.com,112233,0812121226
userTest,1234,B412B,SST39021-2B-51,51A,Visionet,visionet@test.com,112233,0812121227
userTest,1234,C082B,SST51021-2B-01,01G,Visionet,visionet@test.com,112233,0812121228
userTest,1234,B382B,SST38022-2B-19,19J,Visionet,visionet@test.com,112233,0812121229
userTest,1234,C412B,SST56009-2B-25,25H,Visionet,visionet@test.com,112233,0812121230
userTest,1234,C031B,SST50022-1B-08,08B,Visionet,visionet@test.com,112233,0812121231
userTest,1234,C031B,SST50022-1B-27,27B,Visionet,visionet@test.com,112233,0812121232
userTest,1234,C401B,SST56008-1B-39,39G,Visionet,visionet@test.com,112233,0812121233
userTest,1234,C031B,SST50022-1B-06,06C,Visionet,visionet@test.com,112233,0812121234
userTest,1234,C081B,SST51021-1B-52,52E,Visionet,visionet@test.com,112233,0812121235
userTest,1234,C291B,SST53021-1B-29,29A,Visionet,visionet@test.com,112233,0812121236
userTest,1234,B281B,SST35022-1B-33,33E,Visionet,visionet@test.com,112233,0812121237
userTest,1234,B342A,SST37023-2A-28,28B,Visionet,visionet@test.com,112233,0812121238
userTest,1234,B342A,SST37023-2A-23,23D,Visionet,visionet@test.com,112233,0812121239
userTest,1234,C032B,SST50022-2B-21,21D,Visionet,visionet@test.com,112233,0812121240
userTest,1234,C092B,SST51022-2B-20,20C,Visionet,visionet@test.com,112233,0812121241
userTest,1234,B311B,SST36023-1B-39,39D,Visionet,visionet@test.com,112233,0812121242
userTest,1234,B281B,SST35022-1B-51,51J,Visionet,visionet@test.com,112233,0812121243
userTest,1234,C322B,SST55008-2B-05,05L,Visionet,visionet@test.com,112233,0812121244
userTest,1234,D032B,SST60009-2B-10,10E,Visionet,visionet@test.com,112233,0812121245
userTest,1234,C621B,SST59009-1B-37,37L,Visionet,visionet@test.com,112233,0812121246
userTest,1234,B412B,SST39021-2B-09,09C,Visionet,visionet@test.com,112233,0812121247
userTest,1234,B342A,SST37023-2A-37,37B,Visionet,visionet@test.com,112233,0812121248
userTest,1234,B342A,SST37023-2A-19,19H,Visionet,visionet@test.com,112233,0812121249
userTest,1234,C091B,SST51022-1B-30,30F,Visionet,visionet@test.com,112233,0812121250
userTest,1234,C611B,SST59008-1B-51,51C,Visionet,visionet@test.com,112233,0812121251
userTest,1234,B331B,SST37022-1B-17,17F,Visionet,visionet@test.com,112233,0812121252
userTest,1234,B281B,SST35022-1B-35,35H,Visionet,visionet@test.com,112233,0812121253
userTest,1234,D022B,SST60008-2B-09,09G,Visionet,visionet@test.com,112233,0812121254
userTest,1234,C022B,SST50021-2B-53,53H,Visionet,visionet@test.com,112233,0812121255
userTest,1234,B302B,SST36022-2B-39,39I,Visionet,visionet@test.com,112233,0812121256
userTest,1234,B412B,SST39021-2B-09,09L,Visionet,visionet@test.com,112233,0812121257
