user,pass,cluster,unitcode,unitno,custname,custmail,noktp,tlp
userTest,1234,C411A,SST56009-1A-36,36H,Visionet,visionet@test.com,112233,0812122012
userTest,1234,B412B,SST39021-2B-25,25L,Visionet,visionet@test.com,112233,0812122013
userTest,1234,B312A,SST36023-2A-01,01H,Visionet,visionet@test.com,112233,0812122014
userTest,1234,C611B,SST59008-1B-25,25C,Visionet,visionet@test.com,112233,0812122015
userTest,1234,B282B,SST35022-2B-51,51D,Visionet,visionet@test.com,112233,0812122016
userTest,1234,B302B,SST36022-2B-52,52C,Visionet,visionet@test.com,112233,0812122017
userTest,1234,D022B,SST60008-2B-50,50G,Visionet,visionet@test.com,112233,0812122018
userTest,1234,B281B,SST35022-1B-50,50F,Visionet,visionet@test.com,112233,0812122019
userTest,1234,B281B,SST35022-1B-07,07B,Visionet,visionet@test.com,112233,0812122020
userTest,1234,D012B,SST60007-2B-52,52G,Visionet,visionet@test.com,112233,0812122021
userTest,1234,B302B,SST36022-2B-11,11D,Visionet,visionet@test.com,112233,0812122022
userTest,1234,B341B,SST37023-1B-33,33A,Visionet,visionet@test.com,112233,0812122023
userTest,1234,C401B,SST56008-1B-32,32G,Visionet,visionet@test.com,112233,0812122024
userTest,1234,C291B,SST53021-1B-53,53G,Visionet,visionet@test.com,112233,0812122025
userTest,1234,D021B,SST60008-1B-39,39D,Visionet,visionet@test.com,112233,0812122026
userTest,1234,C021A,SST50021-1A-37,37B,Visionet,visionet@test.com,112233,0812122027
userTest,1234,C401B,SST56008-1B-06,06I,Visionet,visionet@test.com,112233,0812122028
userTest,1234,C291B,SST53021-1B-11,11I,Visionet,visionet@test.com,112233,0812122029
userTest,1234,B412B,SST39021-2B-36,36E,Visionet,visionet@test.com,112233,0812122030
userTest,1234,D021B,SST60008-1B-51,51K,Visionet,visionet@test.com,112233,0812122031
userTest,1234,C332B,SST55009-2B-22,22D,Visionet,visionet@test.com,112233,0812122032
userTest,1234,C622B,SST59009-2B-02,02J,Visionet,visionet@test.com,112233,0812122033
userTest,1234,C611B,SST59008-1B-23,23D,Visionet,visionet@test.com,112233,0812122034
userTest,1234,C092B,SST51022-2B-28,28J,Visionet,visionet@test.com,112233,0812122035
userTest,1234,C182B,SST52022-2B-12,12L,Visionet,visionet@test.com,112233,0812122036
userTest,1234,C411A,SST56009-1A-33,33E,Visionet,visionet@test.com,112233,0812122037
userTest,1234,B312A,SST36023-2A-29,29G,Visionet,visionet@test.com,112233,0812122038
userTest,1234,C611B,SST59008-1B-52,52G,Visionet,visionet@test.com,112233,0812122039
userTest,1234,B282B,SST35022-2B-52,52G,Visionet,visionet@test.com,112233,0812122040
userTest,1234,C091B,SST51022-1B-10,10B,Visionet,visionet@test.com,112233,0812122041
userTest,1234,C611B,SST59008-1B-55,55C,Visionet,visionet@test.com,112233,0812122042
userTest,1234,C172B,SST52021-2B-02,02L,Visionet,visionet@test.com,112233,0812122043
userTest,1234,C031B,SST50022-1B-17,17D,Visionet,visionet@test.com,112233,0812122044
userTest,1234,B412B,SST39021-2B-53,53J,Visionet,visionet@test.com,112233,0812122045
userTest,1234,C612A,SST59008-2A-18,18F,Visionet,visionet@test.com,112233,0812122046
userTest,1234,C622B,SST59009-2B-22,22K,Visionet,visionet@test.com,112233,0812122047
userTest,1234,B421B,SST39022-1B-01,01D,Visionet,visionet@test.com,112233,0812122048
userTest,1234,D012B,SST60007-2B-12,12F,Visionet,visionet@test.com,112233,0812122049
userTest,1234,B301B,SST36022-1B-32,32D,Visionet,visionet@test.com,112233,0812122050
userTest,1234,B361B,SST38020-1B-27,27F,Visionet,visionet@test.com,112233,0812122051
userTest,1234,C042B,SST50023-2B-05,05B,Visionet,visionet@test.com,112233,0812122052
userTest,1234,B362B,SST38020-2B-17,17I,Visionet,visionet@test.com,112233,0812122053
userTest,1234,C092B,SST51022-2B-10,10I,Visionet,visionet@test.com,112233,0812122054
userTest,1234,C401B,SST56008-1B-36,36F,Visionet,visionet@test.com,112233,0812122055
userTest,1234,C172B,SST52021-2B-37,37C,Visionet,visionet@test.com,112233,0812122056
userTest,1234,B331B,SST37022-1B-16,16D,Visionet,visionet@test.com,112233,0812122057
userTest,1234,B331B,SST37022-1B-37,37K,Visionet,visionet@test.com,112233,0812122058
userTest,1234,B362B,SST38020-2B-31,31H,Visionet,visionet@test.com,112233,0812122059
userTest,1234,B301B,SST36022-1B-26,26C,Visionet,visionet@test.com,112233,0812122060
userTest,1234,B281B,SST35022-1B-51,51D,Visionet,visionet@test.com,112233,0812122061
userTest,1234,B422B,SST39022-2B-11,11A,Visionet,visionet@test.com,112233,0812122062
userTest,1234,C171B,SST52021-1B-55,55I,Visionet,visionet@test.com,112233,0812122063
userTest,1234,C621B,SST59009-1B-12,12J,Visionet,visionet@test.com,112233,0812122064
userTest,1234,B432B,SST39023-2B-10,10C,Visionet,visionet@test.com,112233,0812122065
userTest,1234,C621B,SST59009-1B-38,38L,Visionet,visionet@test.com,112233,0812122066
userTest,1234,B332B,SST37022-2B-23,23J,Visionet,visionet@test.com,112233,0812122067
userTest,1234,B391B,SST38023-1B-12,12E,Visionet,visionet@test.com,112233,0812122068
userTest,1234,B311B,SST36023-1B-22,22D,Visionet,visionet@test.com,112233,0812122069
userTest,1234,C621B,SST59009-1B-50,50I,Visionet,visionet@test.com,112233,0812122070
userTest,1234,B311B,SST36023-1B-27,27A,Visionet,visionet@test.com,112233,0812122071
userTest,1234,C172B,SST52021-2B-09,09L,Visionet,visionet@test.com,112233,0812122072
userTest,1234,B332B,SST37022-2B-36,36K,Visionet,visionet@test.com,112233,0812122073
userTest,1234,B361B,SST38020-1B-31,31F,Visionet,visionet@test.com,112233,0812122074
userTest,1234,C172B,SST52021-2B-01,01E,Visionet,visionet@test.com,112233,0812122075
userTest,1234,B221B,SST33022-1B-08,08B,Visionet,visionet@test.com,112233,0812122076
userTest,1234,B412B,SST39021-2B-51,51C,Visionet,visionet@test.com,112233,0812122077
userTest,1234,B421B,SST39022-1B-05,05D,Visionet,visionet@test.com,112233,0812122078
userTest,1234,D022B,SST60008-2B-53,53J,Visionet,visionet@test.com,112233,0812122079
userTest,1234,D022B,SST60008-2B-51,51F,Visionet,visionet@test.com,112233,0812122080
userTest,1234,B302B,SST36022-2B-03,03I,Visionet,visionet@test.com,112233,0812122081
userTest,1234,C621B,SST59009-1B-37,37J,Visionet,visionet@test.com,112233,0812122082
userTest,1234,C622B,SST59009-2B-51,51H,Visionet,visionet@test.com,112233,0812122083
userTest,1234,C081B,SST51021-1B-26,26B,Visionet,visionet@test.com,112233,0812122084
userTest,1234,C331B,SST55009-1B-23,23L,Visionet,visionet@test.com,112233,0812122085
userTest,1234,C602B,SST59007-2B-29,29G,Visionet,visionet@test.com,112233,0812122086
userTest,1234,B431A,SST39023-1A-05,05F,Visionet,visionet@test.com,112233,0812122087
userTest,1234,C302B,SST53022-2B-03,03I,Visionet,visionet@test.com,112233,0812122088
userTest,1234,B332B,SST37022-2B-15,15A,Visionet,visionet@test.com,112233,0812122089
userTest,1234,C601A,SST59007-1A-55,55E,Visionet,visionet@test.com,112233,0812122090
userTest,1234,D011B,SST60007-1B-55,55J,Visionet,visionet@test.com,112233,0812122091
userTest,1234,C092B,SST51022-2B-22,22D,Visionet,visionet@test.com,112233,0812122092
userTest,1234,B281B,SST35022-1B-05,05J,Visionet,visionet@test.com,112233,0812122093
userTest,1234,C092B,SST51022-2B-05,05D,Visionet,visionet@test.com,112233,0812122094
userTest,1234,B332B,SST37022-2B-37,37L,Visionet,visionet@test.com,112233,0812122095
